"NEW SINCE","PARTY","ENTRY BY","PARTY ADD","PARTY ADD2","CITY","CELL NO","EMAILID","CELLNO2","EMAILID2","GST NO","REMARKS",
"10/2/2024 11:24:40 AM","PANKAJ JI","","JAIPUR 
9829043224","","JAIPUR","9829043224","noemail@gmail.com","","","nogst","",
"10/2/2024 12:05:33 PM","SHIV SHAKTI","","DEVI DEWALA  CHOWNK, NABHA - 147201
MOBILE NO 9592110200 / 9815183015","","NABHA","9592110200","channiverma33@gmail.com","","","GST","",
"10/2/2024 10:47:08 AM","PUSHPA JEWELS","","SHOP. NO .106 FIRST FLOOR BUILDING NO. 1733 DARIBA KALAN CHANDANI CHOWK DELHI - 110006
9971087077","","DELHI","9971087077","PUSHPAJEWELS7@GMAIL.COM","","","NA","",
"10/2/2024 10:45:23 AM","ARPIT SONI","","9956131678","","NA","9956131678","NO@GMAIL.COM","","","NS","",
"10/3/2024 10:53:35 AM","SP JEWELLERS","","9896542031","","9896542031","9896542031","NO@GMAIL.COM","","","NA","",
"10/7/2024 11:49:12 AM","KANDA JEWELLERS","","NAKORA BAZAR, RANIA (SIRSA) 
MOB : 97280-13870 / 97297-21998","","SIRSA","97280-13870 / 97297-21998","NO@GMAIL.COM","","","GST","",
"10/4/2024 11:12:55 AM","SHYAM JEWELS","","OK HOTEL OPPOSITE NEAR BASE HOSPITAL
HALDWANI NAINITAL
9719738576/7906062021","","DELHI","9719738576/7906062021","NOEMAIL@GMAIL.COM","","","NOGST","",
"10/4/2024 12:39:22 PM","DEEPAK JEWELLERS","","MISSERPURA BAZAR,JAGRAON 
9888413065","","JAGRAON","9888413065/9417713065","noemail@gmail.com","","","nogst","",
"10/7/2024 9:46:54 AM","MAA  JWALA JEWELLERS","","ELLENABAD MOB:7015822805","","HARYANA","9416379854","maajwalajewellers70@gmail.com","","","NA","0",
"10/5/2024 5:52:43 PM","BHANU JWELLERS","","DELHI
8475965120","","DELHI","8475965120","NOEMAIL@GMAIL.COM","","","NOGST","",
"10/5/2024 4:28:57 PM","OM SATGURU JEWELLERS","","SHOP NO 1350, 3RD FLOOR, KRISHANA GALI, BAZAR GUILIAN, DELHI, CENTRAL DELHI-110006 MOB: +8368434710","","DELHI","MOB: +8368434710","bimalmondal309@gmail.com","","","NA","0",
"10/5/2024 2:11:28 PM","MANJIT JEWELLER","","INSIDE ALHORAN GATE, NABHA - 147 201 PUNJAB
MOB-. 90237 89019, 98725 92202","","PUNJAB","90237 89019","manjitsingh8181@gmail.com","","","GST","",
"10/5/2024 2:23:33 PM","JATEEN JEWELLERS","","JODHPUR , RAJASTHAN - 9810238321","","JODHPUR","9810238321","NO@GMAIL.COM","","","GST","",
"10/5/2024 2:20:38 PM","AWAZONE AGENCIES PRIVATE LTD","","1170, 11th FLOOR , KUCHA MAHAJANI , CHANDNI CHOWK , DELHI - 6
9810238321","","DELHI","9810238321","AWAZONEAGENCIES.INFO@GMAIL.COM","","","GST","",
"10/5/2024 12:56:07 PM","JAI MAA KALI JEWELERS","","SHOP NO. 11, BHADANI KATLA, MAIN MARKET, SRIDUNGARGARH (BIKANER) MOB : 9636828240 / 7568689853","","BIKANER","9636828240 / 7568689853","NO@GMAIL.COM","","","GST","",
"10/5/2024 12:47:47 PM","AAN JEWELERS","","9A-HUIGANJ, NEAR RAJAGANJ CHORHA, ETAWAH. MOB : 7983069314","","ETAWAH","7983069314","NO@GMAIL.COM","","","GST","",
"10/5/2024 12:48:41 PM","GURU JEWELS","","DELHI
9813688894","","DELHI","9813688894","NOEMAIL@GMAIL.COM","","","NOGST","",
"10/5/2024 12:34:14 PM","BISWAJIT","","MOBI : 9780899517","","NA","9780899517","NO@GMAIL.COM","","","GST","",
"10/5/2024 12:27:38 PM","TARAK PANDIT","","9810713166","","DELHI","9810713166","NO@GMAIL.COM","","","GST","",
"10/5/2024 12:18:07 PM","S.K. JEWELLERS","","SARAFA BAZAR, JALALABAD (W) MOB : 88727-10786","","JALALABAD","8872710786","NO@GMAIL.COM","","","GST","",
"10/4/2024 11:24:40 AM","SIYARAM JEWELLERS","","PLOT NO. 29, GALI NO. 54-55, MAIN 33 FT. ROAD, SANJAY COLONY, SECTOR-23, FARIDABAD МОB: 9911973975","","FARIDABAD","9911973975","NO@GMAIL.COM","","","GST","",
"10/5/2024 11:52:55 AM","NIKUNJ JEWELLERS","","125RAJ PLAZA,PALACE ROAD, RAJKOT 
9601296014/9426784169","","RAJKOT","9601296014 / 9426784169","noemail@gmail.com","","","nogst","",
"10/5/2024 11:43:06 AM","B J JEWELLERS","","2628,4 TH FLOOR CHHATTA PRATAP SINGH KINARI BAZAR CHANDNI CHOWK ,DELHI -110006 
9873881791","","DELHI","9873881791","noemail@gmail.com","","","nogst","",
"10/5/2024 11:07:34 AM","DIAMONDS GEMSTONES AND JEWELLERY PTY LTD","","D-30, EAST OF KAILASH NEW DELHI-110065, INDIA MOB: +918076966536","","DELHI","+918076966536","nishantkumar2940@gmail.com","","","NA","0",
"10/4/2024 11:20:42 AM","RAJA DHUNNA","","SHOWROOM 04 , SUKHJIT NAGAR, FRONT BUS STAND STREET, KAPURTHALA-144601 
9090131300","","KAPURTHALA","9090131300","noemail@gmail.com","","","nogst","",
"10/5/2024 11:09:10 AM","ASV SILVER","","51 - B/3 HAL, WARD NO.8, SUBHASH BAZAR PANIPATH
9416200046","","PANIPATH","9416200046","NO@GMAIL.COM","","","NA","",
"10/4/2024 8:15:25 PM","SWAMI JEWELS","","PAPER BOX , ANDHERI EAST, MUMBAI-400093
7387404313","","MUMBAI","7387404313","no@email.com","","","gst","",
"10/4/2024 5:50:50 PM","MATESHRI JEWELLERS","","DELHI
9667007552","","DELHI","9667007552","NOEMAIL@GMAIL.COM","","","NOGST","",
"10/4/2024 4:29:18 PM","DARSHRAJ JEWELS","","GROUND FLOOR, SHOP NO.1, SITUATED AT HOUSE NO.7, KHASRA NO.10, STREET NO.3, SHALIMAR VILLAGE, DELHI-110088 MOB +919310931015","","DELHI","+919310931015","darshrajenterprises@gmail.com","","","NA","0",
"10/4/2024 4:17:24 PM","RAMESH JEWELLERS","","TIBET ROAD , GANGTOK - 737101 (SIKKIM)
9832046542","","GANGTOK","9832046542","NO@GMAIL.COM","","","GST","",
"10/4/2024 4:11:16 PM","J.D. JEWELLERS","","30- TEH BAZZAR, OLD DHAN MANDI, SRI GANGANAGAR MOB=9414580120","","SRI GANGANAGAR","9414580120","dsoni714@gmail.com","","","NA","0",
"10/4/2024 3:54:14 PM","DIVYANSHI DIAMOND","","213,3RD FLOOR ZOHRI BAZAR .GALI NO.62 GURUDWARA ROAD , KAROL BAH, NEW DELHI- 110005  ASHU 8750502676","","NEW DELHI","9717702510","divyanshidiamond@gmail.com","","","N?A","",
"10/4/2024 3:12:58 PM","RATANDEEP CREATIVE JEWELS PVT. LTD.","","F-11, SECTOR 27,DLF PHASE-I, GOLF COURSE ROAD, GURUGRAM-122001, HARYANA. OPP. RAPID METRO PILLAR NO. 53 (RAO MOHAR SINGH MARKET ROAD, ADJACENT TO JALSA RESTAURANT) PH.0124-4100364,4100365,4100366,
MOB : 9821400365","","HARYANA","9821400365","aastharcj@gmail.com","","","GST","",
"10/4/2024 12:45:09 PM","PARSHVANATH","","GALA NO : 5,GROUND FLOOR, BLUE DIAMOND, BLDG,OPP.OLD SANJEEVANI HOSPITAL ,PANDIT SOLICITOR ROAD, MALAD (EAST),MUMBAI-400097
9773546978","","MUMBAI","9773546978","parshvanathwax@gmail.com","","","nogst","",
"10/5/2024 12:10:30 PM","SILVER ORNAMENTS","","213, GIRIRAJ CHAMBERS, SONI BAZAR, RAJKOT-360 001. MOB : 98248 15854 / 77788 00035","","RAJKOT","98248 15854 / 77788 00035","NO@GMAIL.COM","","","GST","",
"10/15/2024 6:03:29 PM","HANSRAJ JEWELLERS","","276 BHARAT NAGAR DELHI-110052
9582544428","","DELHI","9582544428","mohit_kapoor_20@yahoo.co.in","","","nogst","",
"9/2/2024 4:51:32 PM","OM JEWELLERS","DIPESH","MAIN ROAD,BALINGA-416010,KOLHAPUR. 
9422853636","","KOLHAPUR","9422853636","omjewellerskop@gmail.com","","","nogst","",
"9/2/2024 10:49:24 AM","PRIYA JEWELLERS","","BERU BAZAAR NEAR BALDEV JI KI POLE
PRIYA JEWELLERS BALOTRA
7742272774
7726983637","","RAJSTHAN","7726983637","priyajewellers774@gmail.com","","","NO GST","",
"7/20/2024 5:26:25 PM","Nickunj Eximp Entp","","mumbai
91670 33040","","mumbai","91670 33040","NO@EMAIL.COM","","","GST","",
"7/20/2024 5:22:34 PM","Nickunj Eximp Entp","","MUMBAI
 91670 33040","","MUMBAI","91670 33040","no@gmail.com","","","gst","",
"7/20/2024 5:10:29 PM","MR.HARIPADA GOPAL CHANDRA GHOSH","","BORIVALI 
7045102422 
GSTIN :27AELPG1740G1ZP","","BORIVALI","7045102422","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/19/2024 5:35:09 PM","Neelzo jewel","","Near wintex mill vastadevdi road katargam
Surat","","SURAT","81417 03393","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/18/2024 1:58:53 PM","H.M.EXPORTS .PVT.LTD","","UNIT NO :5 ,S.D.F.,JEWELLERY COMPLEX,MEPZ-SEZ,TAMBARAM,CHENNAI-600045.
9444250440","","CHENNAI","9444250440","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/18/2024 10:12:27 AM","AMALYA JEWELS PRIVATE LIMITED","","2nd Floor D-391 NEAR NWR GM OFFICE
SIDDHARRATH NAGAR JAGATPURA JAIPUR 
RAJASTHAN 302017
08ABACA1641B1ZD","","JAIPUR","NO","NOEMAIL@GMAIL.COM","","","08ABACA1641B1ZD","",
"7/16/2024 11:14:27 AM","Navrithi jewels pvt ltd","","Keytuo ind estate gala no 211/212 kondvitta andheri east
+91 98200 86882","","MUMBAI","+91 98200 86882","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/15/2024 2:56:34 PM","GOODLUCK JEWELLERY TOOLS AND BOXES","","SHOP NO. 1 SUHEL , MANZIL , LALMIYA , MASJID ,  ROAD NEAR LALA FLOOR MILL RAMPURA , SURAT - 395003","","SURAT","9737969093","no@gmail.com","","","gst","",
"7/15/2024 2:04:04 PM","PADMAVATI GEMS","","MUMBAI 
8591132099","","MUMBAI","8591132099","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/15/2024 10:58:05 AM","Diamond Creations Pvt. Ltd.","","Dc House, Opp.raviraj Building, Phatak Road, Bhayander East-401105
GSTIN- 27AAKCD6779J1ZW","","MUMBAI","9137515626","dcdiamondcreations@gmail.com","","","27AAKCD6779J1ZW","",
"7/13/2024 5:16:31 PM","The Swara Jewels","","M-2,Ratandeep Apartment,Rampura main Road,Surat-395003
99099 20977","","SURAT","99099 20977","no@gmail.com","","","gst","",
"7/12/2024 3:38:15 PM","MALLICK POLISH CHILAI WALE","","C.K.54/8,2 FLOOR,VAID JI KATRA,RESHAM KATRA,CHOWK,VARANASI-221001
MO NO : 9369229393/9005183786","","VARANASI","MO NO : 9369229393/9005183786","NOEMAIL@GMAIL.COM","","","NO GST","",
"7/22/2024 11:23:53 AM","AQUA JEWELLERS","","B wing 103 JASWANTI ALLIED BUSINESS CENTER,
RAMCHANDRA LANE, MALAD WEST, KANCHPADA, MUMBAI 400 064, MAHARASHTRA
MO 7710874466","","MAHARASHTRA","7710874466","no@gmail.com","","","GST","",
"7/12/2024 3:28:28 PM","MALLICK POLISH CHILAI WALE","","C.K.54/8,2 FLOOR,VAID JI KATRA ,RESHAM KATRA,CHOWK,VARANASI
9369229393/9005183786","","VARANASI","9369229393/9005183786","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/11/2024 3:17:54 PM","IDI JEWELS (INDIA) MFG PRIVATE LIMITED","","PLOT NO. F-11 12/12 WESTERN INDIAN COOPERATIVE ESTATE LTD MIDC CENTRAL ROAD MAROL MIDC MUMBAI 400093 MAHARASTRA
2269316912","","MUMBAI","2269316912","NOEMAIL@GMAIL.COM","","","NO GST","",
"7/9/2024 11:29:56 AM","ST ANTONYS JEWELLERY WORKS","","XI/246 ΤΟ 251 OLDVII/369A TO J. CHERUVATHERY CHEVOOR PO THRISSUR-680027 MOB : 9061027634","CHERUVATHERY
CHEVOOR P.O
THRISSUR-680027
GSTN. 32AAVFS3376A1Z5
9061027634","KERALA","9061027634","NOEMAIL@GMAIL.COM","","","32AAVFS3376A1Z5","",
"7/8/2024 6:29:28 PM","Lenus jewels","","1st Floor, 6/607, Moti Sheri Rd, LalDarwaja, Haripura, Surat, Gujarat 395003","","SURAT","6353896899","lenusjewels051@gmail.com","","","24FNDPMS373K1ZN","",
"7/8/2024 4:27:08 PM","DESIGNER JEWELLERS","","MUMBAI
9619166014","","MUMBAI","9619166014","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/8/2024 4:15:59 PM","MANAK JEWELLERS PVT LTD","","NO1/2/3 BLDG NO 4 PIRAMAL IND.ESTATE,PIRAMAL NAGAR GOREGAON(WEST)MUMBAI-400104
8850252067","","GOREGAON","8850252067","NOEMAIL@GMAIL.COM","","","27AAFCM7597Q1ZC","",
"7/8/2024 3:13:51 PM","DIAMOR  LLP","","2ND FLOOR,  DEV PLOTE NO4,  SUPER COMPOUND, SHRI LILASHAH MARG, VASTADEVDI, KATARGAM  , SURAT - 395004","","SURAT","9821155003","no@gmail.com","","","24AASFD8560E1Z8","",
"7/8/2024 9:36:51 AM","SAYON TOOLS","","SY NO : 6/22 74 75 & 2355 PKY 43 KAMSARA 
SHERI ROAD, NEAR SATYA NARAYAN APARTMENT, MAHIDHAR PURA, SURAT,GUJRAT-395003","","SURAT","9586311666/9724241211","NOEMAIL@GMAIL.COM","9586311666/9724241211","","24ALXPJ5623N1ZG","",
"7/5/2024 5:46:33 PM","AKS JEWELS CREATION","","NO.15/14, (6A/2) 1ST FLOOR MANGESH STREET T NAGAR CHENNAI-600017
8925722217","","CHENNAI","8925722217","askjewelcreations@gmail.com","","","no gst","",
"7/5/2024 4:55:36 PM","ANUSHAN JEWELS","","5TH FLOOR, ABHINANDAN APPTT, NEAR DIAMOND CITY RESTAURANT, SURAT PEOPLES BANK, MAHIDHARPURA, SURAT-395003
MOB:- 8347250436
GSTIN:-24ACDFA3476D1ZR","J","SURAT","8347250436","anushanjewels@gmail.com","","","24ACDFA3476D1ZR","",
"7/5/2024 4:55:09 PM","S S ENTERPRISES","","2, RAMDAS APARTMENT, OPP MAROL POLICE CHOWKI,
ANDHERI (E), MUMBAI-400059
8617085394","","MUMBAI","8617085394","NOEMAIL@GMAIL,COM","","","NOGST","",
"7/5/2024 11:45:19 AM","SHANTI BANGLES","SATISH","MOHALLA DALIP NAGAR, JAIN MAARKET STREET 1ST FLOOR, RAILWAY ROAD, NAWANSHAHR 144514
9855004661 / 9781347256","","PANJAB","9855004661 / 9781347256","no @gmail.com","","","03ADFS1511L1Z4","",
"7/5/2024 12:36:46 PM","CARATEX","","NO 402, & 502, LUKHI EMPIRE  BUILDING, OPP VERANI TOWERS, S V ROAD, DAHISAR (e), MUMBAI, MAHARASHTRA INDIA - 400068
7306530800","","MUMBAI","7306530800","NOEMail@gmail.com","","","NOGST","",
"7/11/2024 5:15:32 PM","SRI  NITIRA JEWELS","","LAL DARWAJA GUNDI SHERI SURAT 
9974798231","","SURAT","9974798231","NO@GMAIL.COM","","","NO","",
"7/5/2024 12:08:16 PM","D-ORNIVAA","","89/A/3, 2ND FLOOR, OPP VENUS JEWELS VASTA DEVDI ROAD KATARGAM, SURAT-395004. GUJ. (INDIA)
9727342550","","GUJRAT","9727342550","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/24/2024 9:43:53 AM","AURAM JEWELSTREND PRIVATE LIMITED","","4 TH FLOOR, 177 UNIT NO :407,RAHEJA TOWERS,MOUN ROAD,LIC BUS STOP, ANNA SALAI,CHENNAI,TAMILNADU-600002","","TAMILNADU","SHOULD BE SAME AS ENTER IN PARTY ADD COLUMN","NOEMAIL@GMAIL.COM","","","33ABACA1064G1Z9","",
"7/25/2024 6:12:05 PM","NARAYAN AND SONS","","GALA NO 41, A WING GROUND FLOOR, VIRVANI INDL EST, GOREGAON EAST, MUMBAI-400063
9987616521","1","MUMBAI","9987616521","no@email.com","","","gst","",
"8/12/2024 10:14:01 AM","SAFA MANUFACTURING","","INKEL EDUCITY, MALAPPURAM , KERALA,INDIA","","KERALA","8156869916","NOEMIAL@GMAIL.COM","","","NO GST","",
"8/12/2024 10:04:30 AM","RAJKUMAR SONY","","MUMBAI","","MUMBAI","9414210414","NOEMAIL@GMAIL.COM","","","NOGST","",
"8/11/2024 4:31:00 PM","DIM SHINING FOREVER","","B-IV-330, SARAFA BAZAAR, LUDHIANA, 
9876988878","","Punjab","9876988878","sschains@gmail.com","","","Gst","",
"8/10/2024 5:29:44 PM","RUDRA","","HIRA PANNA 1st floor brahmaniyapara 2-4 corner pedak road cross road rajkot-360003
9537995886","","gujrat","9537995886","NOEMAIL@GMAIL.COM","","","NOGST","",
"8/10/2024 5:11:20 PM","HARI JEWELLERS","","439 KINGSBURY ROAD KINGSBURY LONDON NW9 9DY
07798657216","","LONDON","07798657216","NOEMAIL@GMAIL.COM","","","NOGST","",
"8/10/2024 4:31:11 PM","JBC JEWELS PVT LTD","","VIHOT KRUPA,10-SHAKTI SOCIETY,SARDAR SCHOOL STREET,NR.PUJIT RUPANI TRUST,SANT KABIR ROAD,RAJKOT,GUJRAT-360003
9426737009","","GUJRAT","9426737009","Jbcjewels.pvt.ltd@gmail.com","","","no gst","",
"8/10/2024 4:21:57 PM","JEYKUMAR","","OLD NO :  11C NEW NO. 115 
BRINDHA LAYOUT KRISHNA NAGAR
COIMBATORE-641001
9344413324","","TAMIL NADU","9344413324","NOEMAIL@GMAIL.COM","","","NOGST","",
"8/10/2024 3:21:23 PM","GAYATRI JEWELLERS","","GROUND FLOOR SIDDHI VINAYAK COMPLEX                    
TOWER ROAD MOTI BAZAR PALANPUR
9664781329","","MUMBAI","9664781329","beramahendra982@gmail.com","","","NOGST","",
"8/10/2024 2:37:35 PM","PARVATI JEWELS","","SURAT
9825197960","","SURAT","9825197960","NOEMAIL@GMAIL.COM","","","NOGST","",
"8/10/2024 12:57:33 PM","P&S CHEMITECH","","B223,4TH CROSS,PEENYA INDUSTRIAL ESTATE,BANGALORE-560058
9606026400","","bangalore","9606026400","sales@pschemitech.com","","","nogst","",
"8/10/2024 12:25:48 PM","YASH","","SURAT
9979323111","","SURAT","9979323111","NOEMAIL@GMAIL.COM","","","NOGST","",
"8/10/2024 11:46:55 AM","TITAN COMPANY LIMITED - JEWELLERY DIVISION","","29 SIPCOT INDUSTRIAL COMPLEX HOSUR 635-126 TAMIL NADU INDIA
+91-4344-276524
9488901647","","TAMIL NADU","9488901647","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/24/2024 4:09:19 PM","D.P DESIGN PVT.LTD","","A-17, GIRIKUNJ INDL EST,OFF MAHAKALI CAVES ROAD,ANDHERI(E), MUMBAI","","MUMBAI","SHOULD BE SAME AS ENTER IN PARTY ADD COLUMN","NOEMAIL@GMAIL.COM","","","NOGST","",
"8/10/2024 11:05:48 AM","MAA JEWELLERS","","SIDDHI VINAYAK COMPLEX, MOTI BAZAR,PALANPUR-385001(B.K)
9879081575","","PALANPUR","9879081575","NOEMAIL@GMAIL.COM","","","NOGST","",
"8/10/2024 10:33:40 AM","SUMIT JEWELLERY","","KOLHAPUR
7020905390","","MUMBAI","7020905390","NOEMAIL@GMAIL.COM","","","NOGST","",
"8/10/2024 10:31:00 AM","DEEPAK CHATTISGARH","","CHATTISGARH","","CHATTISGARH","7509197580","NOEMAIL@GMAIL.COM","","","NO GST","",
"8/9/2024 6:37:59 PM","RTSTAR EXPORTS PRIVATE LIMITED","","FW 6080 , G BLOCK DIAMOND BOURSE , BANDRA KURLA  COMPLEX , BANDRA EAST , MUMUBAI MAHARASHTRA","","MAHARASHRA","9867026664","maintenance@euroshinejewellery.com","","","27AADCE5501AIZB","",
"8/9/2024 10:55:30 AM","SHREE JEWELLERS EXIMP PVT LTD","","# 8-2-293/82/A/485, ROAD NO.36
NEAR PEDDAMMA TEMPLE JUBILEE HILLS
HYDERABAD -500033 TS INDIA
9866240046","","HYDERABAD","9866240046","NOEMAIL@GMAIL.COM","","","NOGST","",
"8/7/2024 4:21:48 PM","JINAI JEWELS PVT LTD","","UNIT 604, TOWER 2
SEEPZ, ANDHERI (E), MUMBAI-400096
022 49621748/50/51","","MUMBAI","022 49621748/50/51","NOEMAIL@GMAIL.COM","","","NOGST","",
"8/5/2024 6:02:39 PM","SHASHWAT ATELIERR LLP","","A-34, Nand Bhavan Industrial Estate, Mahakali Caves Road, Andheri (East), Mumbai Mumbai City MH 400069 IN.
 88798 17853","","MUMBAI","88798 17853","no@email.com","","","gst","",
"7/31/2024 6:01:51 PM","SHRIARIHANT MANGAL EXPO IMPO PVT LTD","","F-28 SPECIAL ECONOMIC ZONE PHASE-II RIICO INDUSTRIAL AREA SITAPURA JAIPUR
RAJASTHAN INDIA 302022
08ABDCS0821J1ZF (08)","","RAJASTHAN","NO","NOEMAIL@GMAIL.COM","","","08ABDCS0821J1ZF (08)","",
"7/30/2024 2:41:15 PM","DHANRAJ PRECIOUS METALS PRIVATE LIMITED","RAHUL K","FLOOR -2ND, B ,B-27,TODI INDL EST, SITARAM JADHAV MARG, DELISLE ROAD, SUN MILL COMPOUND, LOWER PAREL, WEST MUMBAI-400013
GSTIN:- 27AAKCD7769C1ZB
MOB:- 98197 77997","","MUMBAI","+919819777997","info@norabangles.in","","","27AAKCD7769C1ZB","",
"7/27/2024 3:55:21 PM","BAGRECHA ENTERPRISES","","GALA B:303,MANDAPESWAR IND ESTATE,  
MANDAPESWAR ROAD, OPP RREM NAGAR GARDEN, BORIVALI WEST,MUMBAI,MAHARASHTRA-400092 
7977661656","","MUMBAI","7977661656","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/26/2024 5:55:26 PM","DHANRAJ BANGLES","","309, 3RD FLOOR, ADHYARU INDL EST,
(NEW SUNMILL COMPOUND), OPP PHOENIX MILLS, LOWER PAREL (W), MUMBAI-400013
27AAKFD8638H1Z1
97696 40777","","MUMBAI","97696 40777","NOEMAIL@GMAIL.COM","","","27AAKFD8638H1Z1","",
"7/26/2024 4:42:28 PM","MILAN PATEL","","SURAT
9998702007","","SURAT","9998702007","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/25/2024 6:36:18 PM","BHINDI JEWEL CAST","","302, SHREE ARCADE, UBHI SHERI, NEAR MANOHAR COMPLEX, OPP MAHAKALI TEMPLE, KHADI SHERI, SAIYADPURA, SURAT-395003
9979999794
9726577072
GSTIN:- 24ABBFB5456H1ZM","","SURAT","9726577072","NO@GMAIL.COM","","","24ABBFB5456H1ZM","",
"8/10/2024 10:42:47 AM","DHAN JEWELS","","MUMBAI","","MUMBAI","9321162176","no@gmail.com","","","NA","0",
"8/12/2024 10:10:54 AM","MAA JEWELLERS","","SHOP NO.HITTON TOWER RAJAGOPALACHARI 
ST GOVERNORPET VIJAYWADA-520002
9392068841","","MUMBAI","9392068841","NOEMAIL@GMAIL.COM","","","NOGST","",
"7/3/2024 2:48:20 PM","AURUM JEWELSTREND PRIVATE LIMITED","","4th Floor,177 Unit No 407,RAHEJA TOWERS,Mount Road,LIC Bus Stop,Anna Salai,Chennai-600002","","tamilnadu","9176000007/9840260786","swarnashipi.salam@gmail.com","","","33ABACA1064G1Z9","",
"7/1/2024 6:41:06 PM","YATRI JEWEL","","FIRST FLOOR, H NO 6/273, OFFICE/ FLAT NO 101, VARDHAMAN HOUSE, BANDUGARA NAKA, 
NEAR LAL DARWAJA, LAL DARWAJA, SURAT,
GUJRAT-395003
GSTIN:-24ASLPD9208L1ZJ
99096 66966","H","SURAT","99096 66966","no@email.com","","","24ASLPD9208L1ZJ","",
"5/27/2024 1:59:35 PM","VAIDURYA  JEWELS","","3 RD FLOOR PLOT NO.12 ROOM NO.11
SARVODY SMALL IND SOCIETY
VARACHHA ROAD SURAT GUJRAT 395006
+91 90161 11097","","GUJRAT","+91 90161 11097","NOEMAIL@GMAIL.COM","","","NO GST","",
"5/25/2024 5:14:36 PM","TITHI JEWELS","","GALA NO 118, KOHINOOR INDL EST, WESTERN EXPRESS HIGHWAY, NEAR VIRWANI INDL EST, GOREGAON (e), MUMBAI-400063
98339 05822","","MUMBAI","98339 05822","no@email.com","","","gst","",
"5/25/2024 3:25:50 PM","MINAL INFOJEWELS LTD.","","UNIT-II-PLOT NO.16(P) 17-28- & 29 (P),
SEEPZ - M I D C ANDHERI (E) MUMBAI-400096
TEL:- 022-40707070","","MUMBAI","TEL:- 022-40707070","noemail@gmail.com","","","NOGST","",
"5/24/2024 4:07:50 PM","GOLDIAM INTERNATIONAL LTD.","","GEM & JEWELLERY COMPLEX,SEEPZ, ANDHERI (E), MUMBAI-400 096
 28291893/0396","","MUMBAI","28291893/0396","NOEMAIL@GMAIL.COM","","","NOGST","",
"5/24/2024 12:53:58 PM","JAY AMBE JEWELLERS","","SHREE LAXMINARAYAN DEV COMPLEX SHOP NO. 101 PALACE ROAD RAJKOT 360001 GUJRAT MOB: 9624321996","","GUJRAT","9624321996","no@gmail.com","","","NA","0",
"5/24/2024 11:08:03 AM","MALABAR GEMS AND JEWELLERY MANUFACTURING PRIVATE LIMITED","","G1-35, G1-36, G1-37, G-47, G-48 , EPIP SITAPURA EPIP SITAPURA
GST NO: 08AAQCM0518C1ZN
Ph: 0495 2726965","","JAIPUR","04952726965","factorypurchase@malabargroup.com","","","08AAQCM0518C1ZN","",
"5/23/2024 4:26:46 PM","GOPAL CHANDRA ANANDA DAS","","5th FLOOR , BULDING NO 115 ,OFFICE NO 19 ,19A , AMTULLA MANZIL , NAGDEVI STREET MANDEVI , MUMBAI ,CITY , MAHARASHTRA, -400003","","MUMBAI","9967444111","not@gmail.com","","","27AIAPD2999MIZU","",
"5/22/2024 7:28:58 PM","ERMELLI PRIVATE LIMITED","","16th floor, Jain Tower, Padmakar L Khandke Marg, Mathew Road, Opera House, Girgaon, Mumbai-400004
GST No. 27AAHCE8846L1ZY
 98217 29775","","MUMBAI","98217 29775","info@ermelli.com","","","27AAHCE8846L1ZY","",
"5/22/2024 4:58:04 PM","MV SONS","","MUMBAI
9867696913","","MUMBAI","9867696913","NO EMAIL@GMAIL.COM","","","NOGST","",
"5/22/2024 3:40:41 PM","AARAV GEMS","","MUMBAI
 91370 10594","","MUMBAI","91370 10594","no@email.com","","","gst","",
"5/22/2024 3:32:13 PM","TULSIYA JEWELS","","1ST FLOOR ,DEV PLOT NO.4, SUPER COMPOUND. SHRI LILA SHAH MARG, VASTA DEVDI, KATARGAM, SURAT-395004
9979794686/9979794674","","GUJRAT","9979794686/9979794674","tulsiyajewels@gmail.com","","","no gst","",
"5/17/2024 3:12:28 PM","YASHVARDHAN JEWELS","","PLOT NO 229 , SUR-SEZ DIAMOND PARK,
SACHIN, SURAT,GUJARAT-394230
90330 63100
24AABFY5826D1ZB","","surat","90330 63100","NO@EMAIL.COM","","","24AABFY5826D1ZB","",
"5/30/2024 2:14:14 PM","NIGAM JEWELS","","JAIPUR MOB:+919024183652","","JAIPUR","+919024183652","no@gmail.com","","","0","NA",
"5/16/2024 3:25:36 PM","SHRI BANU DIAMOND","","9/690-A A CENTRAL EXCISE COLONY PERUR PACHAPALAYAM COIMBATORE 641010
TAMIL NADU CODE-33
+91 90036 79350","","TAMIL NADU","+91 90036 79350","accounts@shribanudiamond.com","","","33AARFT7703Q1ZE","",
"5/15/2024 6:43:45 PM","SONART JEWELS","","MUMBAI
9867990033","","MUMBAI","9867990033","no@email.com","","","gst","",
